Original_Entry,Refined_Formal_Name,Refined_Category,Status/Notes,Analysis_Tag,Similarity_Score,Issue_Flag
Jules Mazarin,Cardinal Mazarin,Person,[Disambiguation] 马萨林枢机。,Disambiguation,0.62,
Julian the Apostate,Julian (Emperor),Person,[Disambiguation] 尤利安皇帝。,Disambiguation,0.57,
Julius von Schlosser,Julius von Schlosser,Person,[Validation] 艺术史学家 (Vienna School)。,Validation,1.0,
Juno,Juno,Person (Myth),[Validation] 女神。,Validation,1.0,
"Juno, Goddess of Air","Juno, Goddess of Air",Work/Person,[Validation] 寓意画主题。,Validation,1.0,
Jupiter,Jupiter,Person (Myth),[Validation] 主神。,Validation,1.0,
Jupiter among the Corybantes,Jupiter among the Corybantes,Work,[Validation] 绘画主题。,Validation,1.0,
Jupiter and Antiope,Jupiter and Antiope,Work,[Validation] 绘画主题。,Validation,1.0,
Jupiter and Io with Cupid and Attendant Putti,Jupiter and Io with Cupid and Attendant Putti,Work,[Validation] 绘画主题。,Validation,1.0,
Jupiter giving Suck,Jupiter giving Suck,Work,[Validation] 绘画主题 (可能是 Jupiter Suckled by the Goat Amalthea 的误读或变体)。,Validation,1.0,
Jupiter handed over by Cybele to the Corybantes to be Fed,Jupiter handed over by Cybele to the Corybantes,Work,[Validation] 绘画主题。,Validation,0.9,
Jupiter sending down his Thunder bolts on the Gods,Jupiter sending down his Thunderbolts,Work,[Validation] 绘画主题 (Giulio Romano等)。,Validation,0.85,
Jusepe de Ribera,Jusepe de Ribera,Person,[Validation] 西班牙画家。,Validation,1.0,
Justice,Justice,Person (Allegory),[Category Fix] 原文误标为 Man-Made Object。正义女神。,Category Fix,1.0,
Justice Embracing Peace,Justice Embracing Peace,Work,[Validation] 绘画主题。,Validation,1.0,
Justinus,Justinus (Historian) / Justin Martyr,Person,[Ambiguity] 可能是历史学家查士丁或殉道者查士丁。,Ambiguity,0.36,Low_Similarity; 
Justus of Ghent,Justus of Ghent (Joos van Wassenhove),Person,[Validation] 早期尼德兰画家。,Validation,0.58,Low_Similarity; 
Justus van Gent,Justus of Ghent,Person,[Validation] 同上。,Validation,0.8,
Jér?me Lalande,Jérôme Lalande,Person,"[OCR Fix] ""?"" -> ""ô""。天文学家/旅行作家。",OCR Fix,0.93,
Jér?me Richard,Jérôme Richard,Person,"[OCR Fix] ""?"" -> ""ô""。旅行作家 (Abbé Richard)。",OCR Fix,0.93,
Kaisersaal,Kaisersaal (Würzburg),Place,[Validation] 维尔茨堡宫帝王厅 (Tiepolo壁画)。,Validation,0.65,
Karel van Mander III,Karel van Mander III,Person,[Validation] 荷兰画家/诗人。,Validation,1.0,
Karl Ludwig Freiherr von P?llnitz,Karl Ludwig von Pöllnitz,Person,"[OCR Fix] ""?"" -> ""ö""。回忆录作者。",OCR Fix,0.81,
Karl Philipp von Greiffenklau,Karl Philipp von Greiffenclau,Person,[Validation] 维尔茨堡采邑主教。,Validation,0.97,
Karl Theodore Parker,K. T. Parker,Person,[Validation] 艺术史学家/策展人 (Ashmolean)。,Validation,0.62,
Karolina Lanckorońska,Karolina Lanckorońska,Person,[Validation] 艺术史学家/收藏家。,Validation,1.0,
Karolus Magnus,Charlemagne,Person,[Disambiguation] 查理曼大帝。,Disambiguation,0.56,
Kassel,Kassel,Place,[Validation] 城市。,Validation,1.0,
Kate Steinitz,Kate Steinitz,Person,[Validation] 达芬奇学者/艺术家。,Validation,1.0,
Keller Peninsula,Keller Peninsula,Place,[Validation] 地名。,Validation,1.0,
Kenneth Donahue,Kenneth Donahue,Person,[Validation] 艺术史学家 (LACMA馆长)。,Validation,1.0,
Kimbolton,Kimbolton Castle,Place,[Validation] 曼切斯特公爵府邸 (Pellegrini壁画)。,Validation,0.72,
King George I,George I of Great Britain,Person,[Category Fix] 原文误标为 Man-Made Object。,Category Fix,0.42,Low_Similarity; 
King George Island,King George Island,Place,[Validation] 岛屿 (南极)。,Validation,1.0,
King Midas,King Midas,Person (Myth),[Category Fix] 原文误标为 Man-Made Object。,Category Fix,1.0,
King Solomon Bathing,King Solomon Bathing,Work,"[Validation] 绘画主题 (可能指 Bathsheba?) 需确认。Solomon usually doesn't bathe in art. Maybe ""Bathsheba bathing""? or ""Susanna""?",Validation,1.0,
King's College,King's College (Cambridge),Place,[Validation] 剑桥国王学院。,Validation,0.7,
Klaus Lankheit,Klaus Lankheit,Person,[Validation] 艺术史学家 (Baroque sculpture)。,Validation,1.0,
Klára Garas,Klára Garas,Person,[Validation] 匈牙利艺术史学家 (Maulbertsch/Baroque)。,Validation,1.0,
Kufürst Clemens August,Clemens August of Bavaria,Person,[Category Fix] 原文误标为 Man-Made Object。科隆选帝侯。,Category Fix,0.6,Low_Similarity; 
Kunsthistorisches Museum,Kunsthistorisches Museum,Place,[Validation] 维也纳艺术史博物馆。,Validation,1.0,
Kunstsammlungen,Kunstsammlungen,Place/Concept,"[Validation] 艺术收藏 (通常指 Weimar, Dresden 等地的机构)。",Validation,1.0,
L'Escorial,El Escorial,Place,[Validation] 埃斯科里亚尔。,Validation,0.86,
L'Inondazione del Tevere,L'Inondazione del Tevere,Work,[Validation] 画作标题。,Validation,1.0,
"La Beata Vergine in Egitto, e S. Giuseppe","La Beata Vergine in Egitto, e S. Giuseppe",Work,[Validation] 绘画主题。,Validation,1.0,
La Burla del Piovano Arlotto,La Burla del Piovano Arlotto,Work,[Validation] 画作标题 (Volterrano/Giovanni da San Giovanni)。,Validation,1.0,
La Chiesa di Gesù Cristo vendicata ne' suoi contrasegni ne' suoi dogmi,La Chiesa di Gesù Cristo vendicata...,Work,[Validation] 书籍标题。,Validation,0.64,
La Fiera dell' Impruneta,La Fiera dell'Impruneta,Work,[Validation] Callot 版画。,Validation,0.98,
La Galleria di Minervat VI,La Galleria di Minerva,Work,"[OCR Fix] ""Minervat VI"" -> ""Minerva, t. VI"" (期刊/丛书)。",OCR Fix,0.92,
La Harpe,Jean-François de La Harpe,Person,[Disambiguation] 评论家。,Disambiguation,0.48,
La Notte,La Notte (Correggio),Work,[Validation] 柯雷乔画作 (The Nativity)。,Validation,0.57,Low_Similarity; 
La Storta,La Storta,Place,[Validation] 罗马附近地点 (Ignatius vision)。,Validation,1.0,
"La Vrillière, Louis Phélipeaux de","Louis Phélypeaux, marquis de La Vrillière",Person,[Validation] 法国政治家/收藏家。,Validation,0.32,Low_Similarity; 
La rissa all'Ambasciata di Spagna,La rissa all'Ambasciata di Spagna,Work,[Validation] 绘画主题 (The Brawl at the Spanish Embassy)。,Validation,1.0,
Labia collection,Labia Collection,Organization/Group,[Category Fix] 原文误标为 Man-Made Object。,Category Fix,1.0,
Labia family,Labia (Family),Group,[Validation] 威尼斯家族 (Palazzo Labia)。,Validation,0.92,
Lake Bracciano,Lake Bracciano,Place,[Validation] 湖泊。,Validation,1.0,
Lamport Hall,Lamport Hall,Place,[Category Fix] 原文误标为 Person。Isham家族庄园。,Category Fix,1.0,
"Lancellotti, Abate",Secondo Lancellotti,Person,[Reconstruction] 作家 (L'Hoggidì)。,Reconstruction,0.59,Low_Similarity; 
Landscape with Cephalus and Procris reunited by Diana,Landscape with Cephalus and Procris,Work,[Validation] 克劳德·洛兰画作。,Validation,0.8,
Landscape with Man fleeing from Serpent,Landscape with Man fleeing from Serpent,Work,[Validation] 普桑画作。,Validation,1.0,
Landscape with Man killed by a Snake,Landscape with a Man killed by a Snake,Work,[Validation] 普桑画作。,Validation,0.97,
Landscape with Psyche Outside the Palace of Cupid,Landscape with Psyche Outside the Palace of Cupid,Work,[Validation] 克劳德·洛兰画作 (The Enchanted Castle)。,Validation,1.0,
Landscape with Rural Dance,Landscape with Rural Dance,Work,[Validation] 克劳德·洛兰画作。,Validation,1.0,
Landscape with Woman washing her Feet,Landscape with Woman washing her Feet,Work,[Validation] 普桑画作 (Phocion)。,Validation,1.0,
Landscape with figures and animals,Landscape with figures and animals,Work,[Validation] 通用标题。,Validation,1.0,
Landscape with the Father of Psyche Sacrificing...,Landscape with the Father of Psyche Sacrificing...,Work,[Validation] 克劳德·洛兰画作。,Validation,1.0,
Landscape with the Flight into Egypt,Landscape with the Flight into Egypt,Work,[Validation] 绘画主题 (Carracci/Lorrain等)。,Validation,1.0,
Landscape with the Port of Santa Marinella,Landscape with the Port of Santa Marinella,Work,[Validation] 克劳德·洛兰画作。,Validation,1.0,
"Landscapes, varying reactions to",Reception of Landscapes,Concept,[Category Fix] 原文误标为 Person。,Category Fix,0.36,Low_Similarity; 
"Langetti, Giovanni Battista",Giovan Battista Langetti,Person,[Validation] 画家。,Validation,0.59,Low_Similarity; 
Lateran,Lateran,Place,[Validation] 拉特朗区域。,Validation,1.0,
Lateran Baptistery,Lateran Baptistery,Place,[Validation] 洗礼堂。,Validation,1.0,
Lateran Palace,Lateran Palace,Place,[Validation] 宫殿。,Validation,1.0,
Laurent Cars,Laurent Cars,Person,[Validation] 法国版画家。,Validation,1.0,
Laurent de La Hyre,Laurent de La Hyre,Person,[Validation] 法国画家。,Validation,1.0,
Lauro,Lauro,Place,[Validation] 地点。,Validation,1.0,
Lazzaro Baldi,Lazzaro Baldi,Person,[Validation] 罗马画家。,Validation,1.0,
Lazzaro Rivera,Lazzaro Rivera,Person,[Validation] 人物。,Validation,1.0,
Le Artiche vanno per le vie nella citta di Venezia,Le Arti che vanno per via nella città di Venezia,Work,[Validation] Zompini 版画集 (Venetian Cries)。,Validation,0.92,
Le Fabbriche e Vedute di Venetia,Le Fabbriche e Vedute di Venetia,Work,[Validation] Carlevarijs 版画集。,Validation,1.0,
"LeBlon, Jakob Christoffel",Jakob Christoph Le Blon,Person,[Validation] 德国/法国版画家。,Validation,0.62,
Leandro Ozzola,Leandro Ozzola,Person,[Validation] 艺术史学家。,Validation,1.0,
Leda,Leda,Person (Myth),[Category Fix] 原文误标为 Man-Made Object。,Category Fix,1.0,
Leda and the Swan,Leda and the Swan,Work,[Validation] 绘画主题。,Validation,1.0,
"Legros, Pierre",Pierre Legros the Younger,Person,[Reconstruction] 雕塑家。,Reconstruction,0.46,Low_Similarity; 
Leipzig,Leipzig,Place,[Validation] 城市。,Validation,1.0,
Lelio Guidiccioni,Lelio Guidiccioni,Person,[Validation] 诗人/评论家。,Validation,1.0,
"Lemaire, Jean",Jean Lemaire (Lemaire-Poussin),Person,[Validation] 法国画家。,Validation,0.51,Low_Similarity; 
"Lena, Innocenzo della",Innocenzo della Lena,Person,[Reconstruction] 威尼斯作家。,Reconstruction,0.73,
Leo I,Leo I (Pope),Person,[Validation] 教皇利奥一世。,Validation,0.59,Low_Similarity; 
Leo X,Leo X,Person,[Validation] 教皇利奥十世。,Validation,1.0,
Leo van Puyvelde,Leo van Puyvelde,Person,[Validation] 比利时艺术史学家。,Validation,1.0,
Leonaert Bramer,Leonaert Bramer,Person,[Validation] 荷兰画家。,Validation,1.0,
Leonardo Loredan,Leonardo Loredan,Person,[Validation] 威尼斯总督。,Validation,1.0,
Leonardo Pasqueti,Leonardo Pasqueti,Person,[Validation] 人物。,Validation,1.0,
Leonardo Pesaro,Leonardo Pesaro,Person,[Validation] 威尼斯贵族。,Validation,1.0,
Leonardo Venier,Leonardo Venier,Person,[Validation] 威尼斯贵族。,Validation,1.0,
Leonardo da Vinci,Leonardo da Vinci,Person,[Validation] 达芬奇。,Validation,1.0,
"Leonardo, Conte di Valmarana",Leonardo Valmarana,Person,[Validation] 贵族。,Validation,0.78,
Leonine City,Leonine City,Place,[Validation] 梵蒂冈区域。,Validation,1.0,
Leonora Baroni,Leonora Baroni,Person,[Validation] 歌手/竖琴演奏家。,Validation,1.0,
"Leopold I, Grand Duke of Tuscany","Leopold II, Holy Roman Emperor",Person,[Disambiguation] 托斯卡纳大公 Leopold I 继位为神圣罗马皇帝 Leopold II。,Disambiguation,0.55,
"Leopold I, Holy Roman Emperor","Leopold I, Holy Roman Emperor",Person,[Validation] 神圣罗马帝国皇帝。,Validation,1.0,
"Leopold II, Holy Roman Emperor","Leopold II, Holy Roman Emperor",Person,[Validation] 同上。,Validation,1.0,
Leopold Joseph von Daun,Leopold Joseph von Daun,Person,[Validation] 奥地利元帅。,Validation,1.0,
"Leopold Wilhelm, Archduke",Archduke Leopold Wilhelm of Austria,Person,[Category Fix] 原文误标为 Man-Made Object。,Category Fix,0.6,
Leopoldo de' Medici,Leopoldo de' Medici,Person,[Validation] 枢机主教/收藏家。,Validation,1.0,
Leto Puliti,Leto Puliti,Person,[Validation] 历史学家。,Validation,1.0,
Leto turning the Shepherds into Frogs,Leto turning the Shepherds into Frogs,Work,[Validation] 绘画主题。,Validation,1.0,
"Letterini, Bartolommeo",Bartolomeo Letterini,Person,[Reconstruction] 威尼斯画家。,Reconstruction,0.43,Low_Similarity; 
Library of King's College,King's College Library,Place,[Validation] 图书馆。,Validation,0.6,Low_Similarity; 
Liechtenstein Palace,Palais Liechtenstein (Vienna),Place,[Validation] 宫殿。,Validation,0.61,
Liechtenstein family,Liechtenstein (Family),Group,[Validation] 贵族家族。,Validation,0.95,
"Liechtenstein, Prince Wenzel of",Wenzel von Liechtenstein,Person,[Validation] 亲王。,Validation,0.47,Low_Similarity; 
Life of Christ series,Life of Christ (Series),Work,[Validation] 绘画/版画系列。,Validation,0.95,
"Ligari, Gian Pietro",Pietro Ligari,Person,"[OCR Fix] ""Gian Pietro"" -> ""Pietro"" (Valtellina artist)。",OCR Fix,0.38,Low_Similarity; 
Lina Livan,Lina Livan,Person,[Validation] 档案学家。,Validation,1.0,
Lina Montalto,Lina Montalto,Person,[Validation] 艺术史学家。,Validation,1.0,
Lincean Academy,Accademia dei Lincei,Organization,[Category Fix] 原文误标为 Place。,Category Fix,0.29,Low_Similarity; 
Lione Pascoli,Lione Pascoli,Person,[Validation] 传记作家。,Validation,1.0,
Lionel Cust,Lionel Cust,Person,[Validation] 艺术史学家。,Validation,1.0,
Lionello Puppi,Lionello Puppi,Person,[Validation] 艺术史学家 (Palladio/Venice)。,Validation,1.0,
Lita-Rose Betcherman,Lita-Rose Betcherman,Person,[Validation] 作家/历史学家 (Balthasar Gerbier)。,Validation,1.0,
Liverpool,Liverpool,Place,[Validation] 城市。,Validation,1.0,
Livio Mehus,Livio Mehus,Person,[Validation] 佛罗伦萨画家。,Validation,1.0,
Livio Odescalchi,Livio Odescalchi,Person,[Validation] 罗马贵族/收藏家。,Validation,1.0,
"Locke, John",John Locke,Person,[Validation] 哲学家。,Validation,0.48,Low_Similarity; 
"Lodoli, Padre Carlo",Carlo Lodoli,Person,[Reconstruction] 建筑理论家。,Reconstruction,0.39,Low_Similarity; 
Lodovico Furlanetto,Lodovico Furlanetto,Person,[Validation] 威尼斯出版商。,Validation,1.0,
Lodovico Grignani,Lodovico Grignani,Person,[Validation] 17世纪出版商 (Rome)。,Validation,1.0,
Lodovico Ottavio Burnacini,Lodovico Ottavio Burnacini,Person,[Validation] 建筑师/设计师 (Vienna)。,Validation,1.0,
Lodovico Rezzonico,Lodovico Rezzonico,Person,[Validation] 威尼斯贵族 (Procuratore)。,Validation,1.0,
London,London,Place,[Validation] 城市。,Validation,1.0,
Longhena,Baldassare Longhena,Person,[Disambiguation] 建筑师。,Disambiguation,0.59,
"Longhena, Baldassare",Baldassare Longhena,Person,[Validation] 建筑师。,Validation,0.51,Low_Similarity; 
"Longhi, Martino, the Elder",Martino Longhi the Elder,Person,[Validation] 建筑师。,Validation,0.68,
"Longhi, Martino, the Younger",Martino Longhi the Younger,Person,[Validation] 建筑师。,Validation,0.7,
"Lorca, Bernardino",Bernardino Lorca,Person,[Check Original] 可能是西班牙人。,Check Original,0.61,
Lord Byron,Lord Byron,Person,[Validation] 诗人。,Validation,1.0,
Loredana Olivato,Loredana Olivato,Person,[Validation] 艺术史学家。,Validation,1.0,
Lorenzini,Giovanni Antonio Lorenzini,Person,[Disambiguation] 版画家 (Fra Antonio)。,Disambiguation,0.51,
Lorenzo Cardella,Lorenzo Cardella,Person,[Validation] 历史学家 (Memorie storiche de' cardinali)。,Validation,1.0,
Lorenzo Costa,Lorenzo Costa,Person,[Validation] 文艺复兴画家。,Validation,1.0,
Lorenzo Magalotti,Lorenzo Magalotti,Person,[Validation] 外交官/科学家。,Validation,1.0,
Lorenzo Masini,Lorenzo Masini,Person,[Validation] 佛罗伦萨贵族。,Validation,1.0,
Lorenzo Mattielli,Lorenzo Mattielli,Person,[Validation] 维琴察雕塑家 (Vienna)。,Validation,1.0,
Lorenzo Onofrio Colonna,Lorenzo Onofrio Colonna,Person,[Validation] 罗马亲王。,Validation,1.0,
Lorenzo Pasinelli,Lorenzo Pasinelli,Person,[Validation] 博洛尼亚画家。,Validation,1.0,
Lorenzo Raggi,Lorenzo Raggi,Person,[Validation] 枢机主教。,Validation,1.0,
Lorenzo Rossi,Lorenzo Rossi,Person,[Validation] 人物。,Validation,1.0,
Lorenzo da Ponte,Lorenzo Da Ponte,Person,[Validation] 剧作家。,Validation,1.0,
Lorenzo de' Medici,Lorenzo de' Medici (the Magnificent),Person,[Disambiguation] 伟大的洛伦佐。,Disambiguation,0.67,
Lorenzo del Rosso,Lorenzo del Rosso,Person,[Validation] 建筑师。,Validation,1.0,
Loreto,Loreto,Place,[Validation] 地点 (Santa Casa)。,Validation,1.0,
"Lorraine, Duke of",Duke of Lorraine,Person,"[Ambiguity] 需区分 (Charles V, Leopold, etc.)。",Ambiguity,0.48,Low_Similarity; 
Lot and his Daughters,Lot and his Daughters,Work,[Validation] 绘画主题。,Validation,1.0,
"Loth, Johann Karl",Johann Carl Loth,Person,[Validation] 威尼斯画家。,Validation,0.61,
Lothar Franz von Sch?nborn,Lothar Franz von Schönborn,Person,"[OCR Fix] ""?"" -> ""ö""。美因茨选帝侯。",OCR Fix,0.96,
Louis Batiffol,Louis Batiffol,Person,[Validation] 历史学家。,Validation,1.0,
Louis Bordet,Louis Bordet,Person,[Validation] 旅行家。,Validation,1.0,
Louis Demonts,Louis Demonts,Person,[Validation] 博物馆策展人。,Validation,1.0,
Louis Hautecoeur,Louis Hautecœur,Person,[Validation] 艺术史学家。,Validation,0.9,
Louis Le Nain,Louis Le Nain,Person,[Validation] 法国画家。,Validation,1.0,
Louis Le Vau,Louis Le Vau,Person,[Validation] 法国建筑师。,Validation,1.0,
Louis Phélypeaux de La Vrillière,"Louis Phélypeaux, marquis de La Vrillière",Person,[Validation] 法国政治家。,Validation,0.88,
